"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2236","test_02_login_without_username","WEB.testcase","Tue Sep 16 09:01:33 CST 2025","passed","Tue Sep 16 09:01:35 CST 2025","TestWebLogin","test_web_login","",""
"","2370","test_09_driver_login","WEB.testcase","Tue Sep 16 09:03:03 CST 2025","passed","Tue Sep 16 09:03:05 CST 2025","TestWebLogin","test_web_login","",""
"","2270","test_04_user_pwd_mismatch","WEB.testcase","Tue Sep 16 09:01:53 CST 2025","passed","Tue Sep 16 09:01:55 CST 2025","TestWebLogin","test_web_login","",""
"","9615","test_05_admin_login_logout","WEB.testcase","Tue Sep 16 09:02:00 CST 2025","passed","Tue Sep 16 09:02:10 CST 2025","TestWebLogin","test_web_login","",""
"","2293","test_01_login_without_org","WEB.testcase","Tue Sep 16 09:01:21 CST 2025","passed","Tue Sep 16 09:01:23 CST 2025","TestWebLogin","test_web_login","",""
"","9431","test_07_warehouse_manager_login_logout","WEB.testcase","Tue Sep 16 09:02:30 CST 2025","passed","Tue Sep 16 09:02:40 CST 2025","TestWebLogin","test_web_login","",""
"","9459","test_06_jprl_login_logout","WEB.testcase","Tue Sep 16 09:02:15 CST 2025","passed","Tue Sep 16 09:02:25 CST 2025","TestWebLogin","test_web_login","",""
"","9536","test_08_carrier_manager_login_logout","WEB.testcase","Tue Sep 16 09:02:47 CST 2025","passed","Tue Sep 16 09:02:56 CST 2025","TestWebLogin","test_web_login","",""
"","2208","test_03_login_without_pwd","WEB.testcase","Tue Sep 16 09:01:44 CST 2025","passed","Tue Sep 16 09:01:46 CST 2025","TestWebLogin","test_web_login","",""
"","15468","test_31_cancel_shuttle_regular_current_date","WEB.testcase","Tue Sep 16 09:10:34 CST 2025","broken","Tue Sep 16 09:10:49 CST 2025","TestWebArrival","test_web_arrival","",""
"","9365","test_10_search_by_org_date_trunk","WEB.testcase","Tue Sep 16 09:03:30 CST 2025","passed","Tue Sep 16 09:03:39 CST 2025","TestWebArrival","test_web_arrival","",""
"","9705","test_33_show_hide_normal_trunk","WEB.testcase","Tue Sep 16 09:11:13 CST 2025","passed","Tue Sep 16 09:11:23 CST 2025","TestWebArrival","test_web_arrival","",""
"","4652","test_17_csv_export_current_date","WEB.testcase","Tue Sep 16 09:05:21 CST 2025","passed","Tue Sep 16 09:05:25 CST 2025","TestWebArrival","test_web_arrival","",""
"","14990","test_24_cancel_irregular_past_date","WEB.testcase","Tue Sep 16 09:07:59 CST 2025","broken","Tue Sep 16 09:08:14 CST 2025","TestWebArrival","test_web_arrival","",""
"","14481","test_21_cancel_regular_past_date","WEB.testcase","Tue Sep 16 09:06:50 CST 2025","broken","Tue Sep 16 09:07:05 CST 2025","TestWebArrival","test_web_arrival","",""
"","14926","test_27_cancel_shuttle_regular_past_date","WEB.testcase","Tue Sep 16 09:09:05 CST 2025","broken","Tue Sep 16 09:09:20 CST 2025","TestWebArrival","test_web_arrival","",""
"","17672","test_13_confirm_one_trunk","WEB.testcase","Tue Sep 16 09:04:38 CST 2025","passed","Tue Sep 16 09:04:56 CST 2025","TestWebArrival","test_web_arrival","",""
"","10718","test_11_search_by_org_date_trunk_confirm_error","WEB.testcase","Tue Sep 16 09:03:53 CST 2025","passed","Tue Sep 16 09:04:04 CST 2025","TestWebArrival","test_web_arrival","",""
"","15166","test_28_cancel_shuttle_regular_current_date","WEB.testcase","Tue Sep 16 09:09:30 CST 2025","broken","Tue Sep 16 09:09:45 CST 2025","TestWebArrival","test_web_arrival","",""
"","3674","test_16_csv_export_past_date","WEB.testcase","Tue Sep 16 09:05:05 CST 2025","passed","Tue Sep 16 09:05:09 CST 2025","TestWebArrival","test_web_arrival","",""
"","7334","test_23_cancel_regular_future_date","WEB.testcase","Tue Sep 16 09:07:46 CST 2025","passed","Tue Sep 16 09:07:53 CST 2025","TestWebArrival","test_web_arrival","",""
"","7062","test_29_cancel_shuttle_regular_future_date","WEB.testcase","Tue Sep 16 09:09:52 CST 2025","passed","Tue Sep 16 09:09:59 CST 2025","TestWebArrival","test_web_arrival","",""
